City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,puerto el triunfo,13.2833,88.55,300.16,85,48,0.56,SV,1694572603
299,wailua homesteads,22.0669,159.378,301.39,68,40,6.17,US,1694572604
300,kavieng,-2.5744,-150.7967,302.02,70,100,3.01,PG,1694572608
301,rio grande,-32.035,52.0986,284.23,90,100,7.16,BR,1694572564
302,carnarvon,-24.8667,-113.6333,295.13,65,1,9.82,AU,1694572608
303,zakamensk,50.3741,-103.2863,284.2,92,100,0.43,RU,1694572609
304,dakhla,23.6848,15.958,294.2,87,42,9.7,EH,1694572609
305,cabugao,17.7931,-120.4578,302.53,70,48,3.77,PH,1694572609
306,hastings,50.8552,-0.5729,289.44,43,99,6.85,GB,1694572609
307,kapa'a,22.0752,159.319,302.14,68,40,6.17,US,1694572609
308,caernarfon,53.1413,4.2702,286.36,35,100,2.06,GB,1694572610
309,taroa,8.7058,-171.2275,301.79,73,30,4.78,MH,1694572610
310,alofi,-19.0595,169.9187,299.09,73,75,7.2,NU,1694572610
311,dessalines,19.2833,72.5,297.69,83,99,2.05,HT,1694572610
312,susuman,62.7833,-148.1667,277.87,91,100,1.52,RU,1694572610
313,dongkan,33.9997,-119.8308,293.91,95,100,4.58,CN,1694572611
314,isangel,-19.55,-169.2667,299.21,65,75,6.17,VU,1694572611
315,lycksele,64.5954,-18.6735,275.08,100,1,0.51,SE,1694572611
316,yaren,-0.5472,-166.916,301.7,66,31,0.72,NR,1694572611
317,bethanie,-26.4833,-17.15,280.66,22,0,2.12,NA,1694572611
318,prado,-17.3411,39.2208,295.24,87,6,2.65,BR,1694572612
319,kyshtovka,56.555,-76.6271,283.3,76,94,4.99,RU,1694572612
320,bella union,-30.2752,57.6007,283.21,90,100,9.56,UY,1694572612
321,saint-philippe,-21.3585,-55.7679,295.92,84,59,4.82,RE,1694572612
322,mana,5.6592,53.7767,299.09,84,21,5.86,GF,1694572612
323,peterhead,57.5058,1.7981,277.84,70,8,3.04,GB,1694572613
324,revda,56.801,-59.9303,283.42,92,12,1.43,RU,1694572613
325,bardai,11.65,-7.2333,293.72,92,100,3.92,NG,1694572613
326,haiku-pauwela,20.9219,156.3051,301.16,64,20,13.38,US,1694572613
327,guerrero negro,27.9769,114.0611,295.91,80,0,6.64,MX,1694572613
328,port douglas,-16.4833,-145.4667,296.15,71,41,9.8,AU,1694572614
329,freetown,8.484,13.2299,299.99,89,75,3.09,SL,1694572614
330,mokrous,51.2333,-47.5167,284.02,76,80,1.48,RU,1694572614
331,cidreira,-30.1811,50.2056,289.25,94,100,5.34,BR,1694572614
332,merritt,50.1123,120.7942,289.44,57,100,1.34,CA,1694572441
333,richmond,37.5538,77.4603,296.14,93,100,3.09,US,1694572067
334,kalampaka,39.7044,-21.6269,291.26,64,0,0.95,GR,1694572615
335,pointe michel,15.25,61.3833,301.85,75,100,4.77,DM,1694572615
336,machina,13.1364,-10.0492,301.05,56,77,3.64,NG,1694572615
337,katsuura,35.1333,-140.3,301.0,76,77,3.63,JP,1694572616
338,chuzhou,32.3219,-118.2978,293.88,96,100,5.4,CN,1694572616
